City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,rio grande,-32.035,-52.0986,23.06,81,32,7.19,BR,1675469360
339,lucapa,-8.4192,20.7447,18.32,92,100,0.77,AO,1675469494
340,saldanha,-33.0117,17.9442,17.34,88,0,3.39,ZA,1675469496
341,pozo colorado,-23.4923,-58.7972,26.08,43,100,1.43,PY,1675469496
342,pachino,36.7186,15.0907,11.15,77,0,5.61,IT,1675469496
343,sorland,67.667,12.6934,2.92,74,80,10.06,NO,1675469497
344,sakakah,29.9697,40.2064,8.29,55,0,3.5,SA,1675469321
345,dudinka,69.4058,86.1778,-10.21,96,100,3.52,RU,1675469497
346,oistins,13.0667,-59.5333,26.05,73,40,7.2,BB,1675469275
347,nelson bay,-32.7167,152.15,24.49,39,0,3.58,AU,1675469498
348,marathon,44.9,-89.7668,-17.14,57,100,2.57,US,1675469498
349,whitehorse,60.7161,-135.0538,-9.55,72,93,4.02,CA,1675469498
350,maragogi,-9.0122,-35.2225,25.76,75,76,3.65,BR,1675469499
351,flinders,-34.5833,150.8552,23.36,46,0,4.02,AU,1675469499
352,chaltyr,47.2848,39.4823,2.43,98,100,3.89,RU,1675469499
353,obo,5.3998,26.4869,22.59,21,1,2.4,CF,1675469500
354,havre-saint-pierre,50.2334,-63.5986,-22.96,85,97,11.53,CA,1675469500
355,airdrie,55.866,-3.9803,9.31,91,83,2.91,GB,1675469500
356,lianzhou,24.7811,112.3825,11.75,92,100,1.32,CN,1675469500
357,sangin,32.0728,64.8359,9.63,73,6,3.67,AF,1675469501
358,ngama,11.7833,17.1667,23.52,16,75,4.62,TD,1675469501
359,egvekinot,66.3167,-179.1667,-28.79,86,7,6.57,RU,1675469502
360,faanui,-16.4833,-151.75,27.63,75,17,6.74,PF,1675469502
361,keuruu,62.2667,24.7,-7.89,92,75,4.15,FI,1675469502
362,hambantota,6.1241,81.1185,23.93,85,36,4.94,LK,1675469503
